ds,y
2014-09-01,407.1824275425502
2014-10-01,364.1488726215978
2014-11-01,366.09979858398435
2014-12-01,341.2678705030872
2015-01-01,248.78254748928933
2015-02-01,234.15364456176758
2015-03-01,269.0422589701991
2015-04-01,235.4915339152018
2015-05-01,236.9970009096207
2015-06-01,238.0817657470703
2015-07-01,279.5637398996661
2015-08-01,250.73380501039566
2015-09-01,233.5955332438151
2015-10-01,264.85535553962956
2015-11-01,348.8833323160807
2015-12-01,424.4645474341608
2016-01-01,410.84448537518904
2016-02-01,404.4082736311288
2016-03-01,416.5257735713836
2016-04-01,434.3393981933594
2016-05-01,461.9544146137853
2016-06-01,642.8690612792968
2016-07-01,661.3561027280746
2016-08-01,579.585197202621
2016-09-01,605.8486328125
2016-10-01,643.5509348223286
2016-11-01,726.3491007486979
2016-12-01,828.0603558940272
2017-01-01,914.9161593529486
2017-02-01,1062.533671787807
2017-03-01,1129.365228468372
2017-04-01,1206.641007486979
2017-05-01,1895.383529170867
2017-06-01,2636.204345703125
2017-07-01,2519.4183861517135
2017-08-01,3880.9899981098793
2017-09-01,4064.8363118489583
2017-10-01,5360.071604082661
2017-11-01,7813.132975260417
2017-12-01,15294.270980342742
2018-01-01,13085.558089717742
2018-02-01,9472.001150948661
2018-03-01,9040.557097404233
2018-04-01,8033.596630859375
2018-05-01,8450.997731854839
2018-06-01,6793.507666015625
2018-07-01,7146.349987399193
2018-08-01,6700.129945816532
2018-09-01,6610.675032552083
2018-10-01,6485.118746849798
2018-11-01,5404.250170898437
2018-12-01,3717.488344254032
2019-01-01,3701.554963142641
2019-02-01,3711.9072614397323
2019-03-01,3976.0690996723793
2019-04-01,5178.46943359375
2019-05-01,7309.694131174395
2019-06-01,9415.900179036458
2019-07-01,10669.336158014114
2019-08-01,10643.248361895161
2019-09-01,9814.06787109375
2019-10-01,8411.929167716733
2019-11-01,8373.572412109375
2019-12-01,7284.013041834677
2020-01-01,8389.270476310483
2020-02-01,9630.722184806034
2020-03-01,6871.01611328125
2020-04-01,7224.477327473958
2020-05-01,9263.151745211693
2020-06-01,9489.227213541666
2020-07-01,9589.899729082661
2020-08-01,11652.394184727822
2020-09-01,10660.27685546875
2020-10-01,11886.978200604839
2020-11-01,16645.757421875
2020-12-01,21983.137096774193
2021-01-01,34761.64994959677
2021-02-01,46306.79896763393
2021-03-01,54998.008694556454
2021-04-01,57206.720052083336
2021-05-01,46443.28666834677
2021-06-01,35845.1546875
2021-07-01,34444.97379032258
2021-08-01,45709.02268145161
2021-09-01,45939.771484375
2021-10-01,57911.9705141129
2021-11-01,60621.48880208333
2021-12-01,49263.2091733871
2022-01-01,41114.42237903226
2022-02-01,40763.47405133928
2022-03-01,41966.23752520161
2022-04-01,41435.319661458336
2022-05-01,31706.10521673387
2022-06-01,24383.685481770834
2022-07-01,21539.253843245966
2022-08-01,22366.266318044356
2022-09-01,19804.779231770834
2022-10-01,19650.52564264113
2022-11-01,17600.814322916667
2022-12-01,16949.60880796371
2023-01-01,20250.717489919356
2023-02-01,23304.539202008928
2023-03-01,25116.900894657258
2023-04-01,28857.574544270832
2023-05-01,27499.307144657258
2023-06-01,27763.1984375
2023-07-01,30057.469947076614
2023-08-01,27852.792842741936
2023-09-01,26306.136393229168
2023-10-01,29755.895161290322
2023-11-01,36596.16484375
2023-12-01,42546.893523185485
2024-01-01,42919.612399193546
2024-02-01,49875.174299568964
2024-03-01,67702.43926411291
2024-04-01,65882.38059895833
2024-05-01,65266.317288306454
2024-06-01,65899.46575520834
2024-07-01,62804.542086693546
2024-08-01,59921.19758064516
2024-09-01,60358.515885416666
2024-10-01,65577.26449092742
2024-11-01,86570.7078125
2024-12-01,98232.94858870968
2025-01-01,99992.84778225806
2025-02-01,95290.70954241071
2025-03-01,85075.9800907258
2025-04-01,86447.71510416667
2025-05-01,103644.5148689516
2025-06-01,105825.24713541666
2025-07-01,115363.2351310484
2025-08-01,114834.93876008065
2025-09-01,113173.046875
2025-10-01,114085.4339717742
2025-11-01,96271.79869791666
2025-12-01,88926.51234879032
2026-01-01,90463.82182459677
2026-02-01,68822.85672433036
2026-03-01,69478.44682459677
2026-04-01,73740.06510416667
